Category: All categories

Region,milkshake beverage: (2/1/24 - 2/28/25),Hamburger food: (2/1/24 - 2/28/25),Breakup Topic: (2/1/24 - 2/28/25),compare: (2/1/24 - 2/28/25)
North Carolina,<1%,1%,,99%
Florida,<1%,<1%,,100%
Alaska,,1%,,99%
Wyoming,,3%,,97%
California,,<1%,,100%
Colorado,,1%,,99%
Connecticut,,<1%,,100%
District of Columbia,,<1%,,100%
Delaware,,1%,,99%
Arkansas,,1%,,99%
Georgia,,1%,,99%
Hawaii,,1%,,99%
Iowa,,1%,,99%
Idaho,,1%,,99%
Illinois,,1%,,99%
Indiana,,1%,,99%
Kansas,,1%,,99%
Kentucky,,1%,,99%
Louisiana,,2%,,98%
Massachusetts,,<1%,,100%
Maryland,,<1%,,100%
Maine,,1%,,99%
Michigan,,1%,,99%
Minnesota,,1%,,99%
Missouri,,1%,,99%
Mississippi,,1%,,99%
Montana,,1%,,99%
Alabama,,1%,,99%
North Dakota,,1%,,99%
Nebraska,,1%,,99%
New Hampshire,,<1%,,100%
New Jersey,,<1%,,100%
New Mexico,,1%,,99%
Nevada,,1%,,99%
New York,,<1%,,100%
Ohio,,1%,,99%
Oklahoma,,1%,,99%
Oregon,,1%,,99%
Pennsylvania,,<1%,,100%
Rhode Island,,<1%,,100%
South Carolina,,1%,,99%
South Dakota,,1%,,99%
Tennessee,,1%,,99%
Texas,,1%,,99%
Utah,,2%,,98%
Virginia,,1%,,99%
Vermont,,,,100%
Washington,,1%,,99%
Wisconsin,,1%,,99%
West Virginia,,1%,,99%
Arizona,,1%,,99%
