ID,Start time,Completion time,Email,Name,Last modified time,Rating,Favorite_Drink,Frequency,Reward_Preference,Cleanliness_Score,Seasonal_Flavors 
1,4/8/2026 8:58,4/8/2026 8:59,anonymous,,,3,Tea,Weekly,Free size upgrade,3,sakura drinks
2,4/8/2026 9:51,4/8/2026 9:52,anonymous,,,5,Iced Coffee,2-3 times a week,Free drink after 6 purchases,4,Caramel Granita :)
3,4/8/2026 13:32,4/8/2026 13:32,anonymous,,,5,Tea,Weekly,Free size upgrade,5,lavender earl grey
4,4/8/2026 13:46,4/8/2026 13:47,anonymous,,,5,Iced Coffee,Daily,15% off for students,5,Cheesecake 
5,4/8/2026 14:43,4/8/2026 14:43,anonymous,,,1,Iced Coffee,Daily,Free drink after 6 purchases,1,close store
6,4/8/2026 14:44,4/8/2026 14:45,anonymous,,,4,Tea,2-3 times a week,Free size upgrade,4,Pineapple tea 
7,4/9/2026 11:32,4/9/2026 11:42,anonymous,,,4,Iced Coffee,Weekly,15% off for students,5,I would like to see a reposado espresso.
8,4/9/2026 11:47,4/9/2026 11:48,anonymous,,,3,Hot coffee,Weekly,Free drink after 6 purchases,4,no
9,4/9/2026 11:52,4/9/2026 11:52,anonymous,,,2,Espresso,2-3 times a week,15% off for students,3,Pomegranate 
10,4/9/2026 12:52,4/9/2026 12:53,anonymous,,,5,Espresso,2-3 times a week,Free drink after 6 purchases,5,the place could be cleaner. thank you
